contigName	contigLen	totalAvgDepth	ERR3211994.bam	ERR3211994.bam-var
ERR3211994_41	7008	14.2956	14.2956	21.2217
ERR3211994_42	1228	73.7013	73.7013	1244.23
ERR3211994_43	1065	12.6437	12.6437	7.40028
ERR3211994_44	2060	8.34974	8.34974	3.39782
ERR3211994_45	1102	10.083	10.083	11.9101
ERR3211994_46	1382	7.65909	7.65909	3.4905
ERR3211994_47	1096	12.2304	12.2304	15.822
ERR3211994_48	7247	14.7004	14.7004	18.2568
ERR3211994_49	1201	8.58991	8.58991	11.7621
ERR3211994_50	2220	9.71546	9.71546	5.78608
ERR3211994_51	1091	15.3804	15.3804	7.7785
ERR3211994_52	1583	8.40684	8.40684	5.60463
ERR3211994_53	1757	27.743	27.743	94.2534
ERR3211994_54	1462	10.657	10.657	19.6412
ERR3211994_55	1025	7.95886	7.95886	8.40099
ERR3211994_56	6954	13.832	13.832	15.9721
ERR3211994_57	2722	22.3635	22.3635	71.5389
ERR3211994_58	1919	13.6116	13.6116	10.7411
ERR3211994_59	17473	15.759	15.759	19.2063
ERR3211994_60	3234	14.4744	14.4744	18.9155
ERR3211994_61	3706	9.11024	9.11024	7.00837
ERR3211994_62	1079	13.9656	13.9656	27.0763
ERR3211994_63	1113	10.1205	10.1205	5.59252
ERR3211994_64	1310	10.0931	10.0931	10.2468
ERR3211994_65	1010	5.91512	5.91512	3.4864
ERR3211994_66	1597	10.1106	10.1106	6.2063
ERR3211994_67	1401	9.07834	9.07834	5.31228
ERR3211994_68	1152	9.00599	9.00599	5.20078
ERR3211994_69	1405	11.0916	11.0916	11.675
ERR3211994_70	1464	7.52968	7.52968	7.27444
ERR3211994_71	1530	8.89493	8.89493	7.57049
ERR3211994_72	1015	6.96532	6.96532	2.73954
ERR3211994_73	1243	11.3577	11.3577	5.51569
ERR3211994_74	1059	7.57316	7.57316	10.3594
ERR3211994_75	1703	10.8789	10.8789	6.0794
ERR3211994_76	2733	11.1638	11.1638	12.7466
ERR3211994_77	1258	8.2843	8.2843	7.09434
ERR3211994_78	1157	6.29295	6.29295	3.21727
ERR3211994_79	1232	6.83641	6.83641	7.61342
ERR3211994_80	1607	8.65683	8.65683	5.11016
ERR3211994_81	3950	11.2461	11.2461	8.13819
ERR3211994_82	1989	8.99402	8.99402	6.50655
ERR3211994_83	4940	13.4025	13.4025	19.4185
ERR3211994_84	1448	10.2758	10.2758	16.1815
ERR3211994_85	2292	11.5299	11.5299	20.0587
ERR3211994_86	1638	10.9026	10.9026	14.6314
ERR3211994_87	1460	8.72901	8.72901	13.9945
ERR3211994_88	1843	7.6645	7.6645	4.61077
ERR3211994_89	1008	13.2424	13.2424	32.646
ERR3211994_90	1591	11.5704	11.5704	16.6618
ERR3211994_91	2277	9.13963	9.13963	8.30179
ERR3211994_92	1173	10.4076	10.4076	5.66052
ERR3211994_93	1605	12.0364	12.0364	30.0985
ERR3211994_94	3458	17.1823	17.1823	20.3977
ERR3211994_95	1051	7.899	7.899	7.73759
ERR3211994_96	1556	9.30654	9.30654	10.4049
ERR3211994_97	4158	13.4444	13.4444	33.8403
ERR3211994_98	1109	13.219	13.219	17.1106
ERR3211994_99	1610	8.20068	8.20068	7.18982
ERR3211994_100	3857	12.8309	12.8309	9.9101
ERR3211994_101	2594	10.385	10.385	10.0256
ERR3211994_102	3404	13.4293	13.4293	13.471
ERR3211994_103	1087	8.37247	8.37247	5.46049
ERR3211994_104	1023	6.7228	6.7228	3.85654
ERR3211994_105	1697	9.43891	9.43891	8.16237
ERR3211994_106	1034	7.38122	7.38122	3.36185
ERR3211994_107	1571	11.3392	11.3392	9.21303
ERR3211994_108	2060	9.88901	9.88901	8.94216
ERR3211994_109	1133	9.84029	9.84029	17.226
ERR3211994_110	1705	7.01158	7.01158	5.54558
ERR3211994_111	3079	35.0577	35.0577	154.56
ERR3211994_112	1267	6.22023	6.22023	1.33676
ERR3211994_113	1429	12.9202	12.9202	9.52258
ERR3211994_114	1676	7.73919	7.73919	2.74242
ERR3211994_115	2701	11.3897	11.3897	20.8905
ERR3211994_116	2431	14.6541	14.6541	23.9449
ERR3211994_117	1963	11.8058	11.8058	8.18301
ERR3211994_118	2151	6.54073	6.54073	3.73748
ERR3211994_119	1298	10.743	10.743	12.3533
ERR3211994_120	19731	16.1275	16.1275	22.9879
ERR3211994_121	1379	11.1196	11.1196	10.4784
ERR3211994_122	1119	10.9205	10.9205	9.23849
ERR3211994_123	1128	10.6043	10.6043	17.2506
ERR3211994_124	1514	8.75733	8.75733	10.3965
ERR3211994_125	1771	12.256	12.256	28.4745
ERR3211994_126	1015	9.93064	9.93064	8.82156
ERR3211994_127	1682	26.5999	26.5999	212.901
ERR3211994_128	1275	9.94667	9.94667	7.81385
ERR3211994_129	1437	8.96504	8.96504	7.54077
ERR3211994_130	1832	9.51249	9.51249	5.94777
ERR3211994_131	2531	18.7144	18.7144	37.7454
ERR3211994_132	1283	11.9532	11.9532	16.0482
ERR3211994_133	1111	7.64516	7.64516	3.79583
ERR3211994_134	1917	11.9666	11.9666	22.7764
ERR3211994_135	1159	12.1219	12.1219	7.66467
ERR3211994_136	12413	14.1873	14.1873	16.373
ERR3211994_137	1593	7.73181	7.73181	7.2172
ERR3211994_138	1016	14.9492	14.9492	141.099
ERR3211994_139	1473	7.62585	7.62585	13.838
ERR3211994_140	1192	18.9223	18.9223	50.4426
ERR3211994_141	2941	8.51487	8.51487	6.44554
ERR3211994_142	5165	14.1803	14.1803	12.5929
ERR3211994_143	1392	5.13366	5.13366	2.31732
ERR3211994_144	2438	12.1503	12.1503	12.9611
ERR3211994_145	1617	10.8718	10.8718	11.8458
ERR3211994_146	1416	11.1343	11.1343	5.39068
ERR3211994_147	14701	17.362	17.362	21.7646
ERR3211994_148	1729	8.81317	8.81317	7.44985
ERR3211994_149	1833	16.6007	16.6007	20.2578
ERR3211994_150	1612	9.76676	9.76676	4.59372
ERR3211994_151	1240	8.85596	8.85596	8.79556
ERR3211994_152	3371	79.5871	79.5871	2589.23
ERR3211994_153	1740	8.8044	8.8044	10.4167
ERR3211994_154	1536	10.8211	10.8211	13.3846
ERR3211994_155	2356	10.1296	10.1296	10.7741
ERR3211994_156	1454	9.89724	9.89724	9.40464
ERR3211994_157	1324	8.16099	8.16099	6.65351
ERR3211994_158	2151	10.3323	10.3323	17.764
ERR3211994_159	1000	7.93529	7.93529	7.8533
ERR3211994_160	5077	30.451	30.451	56.7874
ERR3211994_161	9531	16.0732	16.0732	18.4479
ERR3211994_162	1370	6.19344	6.19344	4.03146
ERR3211994_163	3118	14.7951	14.7951	18.0255
ERR3211994_164	1264	8.7325	8.7325	8.48004
ERR3211994_165	1750	12.0138	12.0138	8.76031
ERR3211994_166	3337	10.0976	10.0976	14.3604
ERR3211994_167	1735	12.2196	12.2196	13.9923
ERR3211994_168	1019	12.5489	12.5489	11.9599
ERR3211994_169	4458	15.952	15.952	29.0933
ERR3211994_170	1490	8.72836	8.72836	15.5945
ERR3211994_171	1046	11.5547	11.5547	101.582
ERR3211994_172	2682	14.6398	14.6398	31.427
ERR3211994_173	1819	12.3877	12.3877	8.59006
ERR3211994_174	1091	8.73539	8.73539	9.34374
ERR3211994_175	7162	11.3441	11.3441	15.2711
ERR3211994_176	1500	13.357	13.357	19.7789
ERR3211994_177	1288	19.9148	19.9148	82.6463
ERR3211994_178	1348	19.9299	19.9299	74.3826
ERR3211994_179	2796	9.52835	9.52835	9.08725
ERR3211994_180	1843	8.15948	8.15948	5.44856
ERR3211994_181	1245	16.4612	16.4612	14.6893
ERR3211994_182	1440	8.29767	8.29767	7.83834
ERR3211994_183	1978	8.51969	8.51969	6.97335
ERR3211994_184	6303	17.3049	17.3049	23.4677
ERR3211994_185	1383	7.14031	7.14031	2.61098
ERR3211994_186	5732	11.5192	11.5192	11.3926
ERR3211994_187	1104	9.79979	9.79979	7.9231
ERR3211994_188	2131	8.99546	8.99546	7.25199
ERR3211994_189	1286	12.1893	12.1893	41.0981
ERR3211994_190	1166	8.90945	8.90945	3.10707
ERR3211994_191	1329	10.1883	10.1883	13.8219
ERR3211994_192	4890	17.5819	17.5819	16.5586
ERR3211994_193	1000	10.7294	10.7294	8.61693
ERR3211994_194	1115	10.1047	10.1047	5.00043
ERR3211994_195	1329	21.7337	21.7337	547.689
ERR3211994_196	2602	49.6432	49.6432	169.566
ERR3211994_197	2421	9.67503	9.67503	9.0362
ERR3211994_198	1739	8.53304	8.53304	4.63574
ERR3211994_199	1650	21.3247	21.3247	33.7003
ERR3211994_200	1607	10.2334	10.2334	13.256
ERR3211994_201	1503	9.17886	9.17886	11.0878
ERR3211994_202	1358	14.7012	14.7012	40.2549
ERR3211994_203	2805	12.4908	12.4908	15.7022
ERR3211994_204	1378	21.0489	21.0489	22.4914
ERR3211994_205	1391	14.6446	14.6446	62.2738
ERR3211994_206	2341	13.3514	13.3514	52.8161
ERR3211994_207	1186	7.50386	7.50386	3.5971
ERR3211994_208	1821	16.8893	16.8893	60.1081
ERR3211994_209	1083	10.9711	10.9711	16.8479
ERR3211994_210	11929	11.1741	11.1741	14.733
ERR3211994_211	1112	5.40021	5.40021	3.25383
ERR3211994_212	1010	9.25	9.25	3.7174
ERR3211994_213	1156	8.67296	8.67296	6.62625
ERR3211994_214	1787	9.60721	9.60721	5.94523
ERR3211994_215	1860	11.4596	11.4596	7.0256
ERR3211994_216	1104	11.2778	11.2778	8.27219
ERR3211994_217	1439	9.20093	9.20093	5.32687
ERR3211994_218	1717	16.8839	16.8839	30.1359
ERR3211994_219	1096	10.6332	10.6332	29.9701
ERR3211994_220	3527	12.2561	12.2561	29.075
ERR3211994_221	1292	7.54553	7.54553	4.5777
ERR3211994_222	1060	9.33626	9.33626	11.6052
ERR3211994_223	1636	9.50673	9.50673	4.5033
ERR3211994_224	1530	12.9797	12.9797	26.5421
ERR3211994_225	1214	12.2378	12.2378	3.92367
ERR3211994_226	1224	10.9721	10.9721	9.57241
ERR3211994_227	1044	9.38702	9.38702	19.158
ERR3211994_228	1220	8.35888	8.35888	4.07878
ERR3211994_229	4111	157.905	157.905	2735.48
ERR3211994_230	1528	7.43106	7.43106	8.93386
ERR3211994_231	1371	19.5217	19.5217	60.0546
ERR3211994_232	7263	16.0363	16.0363	26.4768
ERR3211994_233	1844	10.0502	10.0502	7.05895
ERR3211994_234	1336	13.5413	13.5413	40.4427
ERR3211994_235	1063	9.21796	9.21796	6.36145
ERR3211994_236	1207	12.5676	12.5676	12.3044
ERR3211994_237	2290	10.665	10.665	14.118
ERR3211994_238	3505	14.6933	14.6933	17.962
ERR3211994_239	1135	9.87107	9.87107	8.1287
ERR3211994_240	1887	163.702	163.702	3230.72
ERR3211994_241	1232	9.79113	9.79113	6.01926
ERR3211994_242	2182	24.4813	24.4813	131.25
ERR3211994_243	2098	18.9512	18.9512	13.7926
ERR3211994_244	1103	9.32739	9.32739	4.55446
ERR3211994_245	1755	7.99502	7.99502	6.69822
ERR3211994_246	2258	103.822	103.822	194.504
ERR3211994_247	1062	5.2511	5.2511	5.22228
ERR3211994_248	5000	13.1076	13.1076	26.2714
ERR3211994_249	1885	9.58156	9.58156	6.09009
ERR3211994_250	2464	13.694	13.694	24.0162
ERR3211994_251	1617	8.83231	8.83231	3.85862
ERR3211994_252	1327	8.71538	8.71538	6.64086
ERR3211994_253	2502	14.0115	14.0115	38.1501
ERR3211994_254	5518	15.2541	15.2541	26.2693
ERR3211994_255	1135	6.86599	6.86599	3.06128
ERR3211994_256	1648	9.81175	9.81175	8.79823
ERR3211994_257	1028	8.8713	8.8713	3.793
ERR3211994_258	1073	7.94475	7.94475	7.86139
ERR3211994_259	1326	11.2143	11.2143	16.6485
ERR3211994_260	5543	10.4969	10.4969	12.5094
ERR3211994_261	1047	16.9766	16.9766	31.7974
ERR3211994_262	3278	11.4412	11.4412	17.3192
ERR3211994_263	1134	9.33638	9.33638	16.3619
ERR3211994_264	3394	9.71856	9.71856	10.724
ERR3211994_265	1128	7.86094	7.86094	7.0963
ERR3211994_266	1552	9.91441	9.91441	69.1131
ERR3211994_267	4174	23.9476	23.9476	380.597
ERR3211994_268	1060	30.0703	30.0703	139.957
ERR3211994_269	1028	11.6492	11.6492	5.72403
ERR3211994_270	2623	10.6607	10.6607	29.5647
ERR3211994_271	2169	9.46805	9.46805	7.57515
ERR3211994_272	1253	7.44787	7.44787	2.51067
ERR3211994_273	1540	10.0741	10.0741	19.4552
ERR3211994_274	2569	11.6957	11.6957	13.5219
ERR3211994_275	2626	10.3849	10.3849	11.8902
ERR3211994_276	1521	13.663	13.663	27.3157
ERR3211994_277	12342	13.6331	13.6331	17.0673
ERR3211994_278	1562	11.9965	11.9965	22.3196
ERR3211994_279	1074	8.72619	8.72619	6.58474
ERR3211994_280	9528	11.9583	11.9583	11.9703
ERR3211994_281	1793	9.46439	9.46439	8.92491
ERR3211994_282	1157	6.98908	6.98908	2.10028
ERR3211994_283	5916	15.7577	15.7577	25.491
ERR3211994_284	2580	12.1416	12.1416	13.5911
ERR3211994_285	1373	10.0245	10.0245	6.65245
ERR3211994_286	1407	23.2737	23.2737	122.584
ERR3211994_287	1302	12.8359	12.8359	42.791
ERR3211994_288	1165	20.7734	20.7734	22.6153
ERR3211994_289	1299	7.39252	7.39252	4.01393
ERR3211994_290	1163	8.72557	8.72557	26.0689
ERR3211994_291	3845	12.2452	12.2452	10.9388
ERR3211994_292	1121	7.7827	7.7827	2.11047
ERR3211994_293	1876	11.9305	11.9305	18.6409
ERR3211994_294	4640	31.0425	31.0425	72.5227
ERR3211994_295	5207	10.4388	10.4388	9.2966
ERR3211994_296	1005	11.3298	11.3298	13.6381
ERR3211994_297	5232	14.5622	14.5622	41.2287
ERR3211994_298	1357	8.65617	8.65617	8.93558
ERR3211994_299	2230	11.8284	11.8284	11.6305
ERR3211994_300	2231	26.0577	26.0577	67.3609
ERR3211994_301	2010	14.9484	14.9484	40.0544
ERR3211994_302	1172	9.62525	9.62525	5.6998
ERR3211994_303	1039	6.95388	6.95388	5.73099
ERR3211994_304	1187	13.8129	13.8129	12.4823
ERR3211994_305	1719	15.4589	15.4589	21.7625
ERR3211994_306	1051	8.30855	8.30855	3.59137
ERR3211994_307	1906	12.1868	12.1868	11.009
ERR3211994_308	3785	30.2272	30.2272	55.0107
ERR3211994_309	1878	7.94676	7.94676	5.15881
ERR3211994_310	1564	7.22843	7.22843	5.24365
ERR3211994_311	3240	10.1392	10.1392	12.4525
ERR3211994_312	1576	11.7377	11.7377	5.44136
ERR3211994_313	1150	16.326	16.326	11.6434
ERR3211994_314	1888	11.3308	11.3308	14.0108
ERR3211994_315	1032	7.44558	7.44558	5.11225
ERR3211994_316	7264	12.1893	12.1893	12.196
ERR3211994_317	1216	13.1904	13.1904	10.3458
ERR3211994_318	1255	7.35566	7.35566	4.77107
ERR3211994_319	1220	7.31589	7.31589	1.69431
ERR3211994_320	1014	6.2963	6.2963	3.93064
ERR3211994_321	2129	20.9808	20.9808	85.6382
ERR3211994_322	3693	8.48462	8.48462	4.87484
ERR3211994_323	2798	7.86669	7.86669	5.96885
ERR3211994_324	1029	8.84869	8.84869	5.3905
ERR3211994_325	1375	9.66041	9.66041	8.78162
ERR3211994_326	12432	11.8262	11.8262	13.6004
ERR3211994_327	1301	7.62381	7.62381	12.9706
ERR3211994_328	1008	5.831	5.831	1.42648
ERR3211994_329	1353	21.6085	21.6085	30.0104
ERR3211994_330	1330	9.09322	9.09322	6.49852
ERR3211994_331	1266	11	11	11.5874
ERR3211994_332	4622	11.4895	11.4895	16.3323
ERR3211994_333	1452	8.79493	8.79493	3.49746
ERR3211994_334	1228	7.141	7.141	4.89748
ERR3211994_335	1203	8.50617	8.50617	5.05626
ERR3211994_336	1406	15.5852	15.5852	51.1752
ERR3211994_337	12326	15.4137	15.4137	25.5604
ERR3211994_338	2450	10.39	10.39	8.81391
ERR3211994_339	15437	15.1894	15.1894	18.5004
ERR3211994_340	1378	7.03827	7.03827	3.50057
ERR3211994_341	1018	10.1279	10.1279	15.6964
ERR3211994_342	4150	17.6257	17.6257	73.5319
ERR3211994_343	1209	7.96412	7.96412	5.56019
ERR3211994_344	5379	12.0541	12.0541	11.9482
ERR3211994_345	1355	13.3112	13.3112	7.44209
ERR3211994_346	2673	15.9956	15.9956	17.1447
ERR3211994_347	1118	10.1994	10.1994	13.7027
ERR3211994_348	2632	11.4851	11.4851	12.4861
ERR3211994_349	1746	8.95363	8.95363	6.59591
ERR3211994_350	2723	12.7489	12.7489	20.6648
ERR3211994_351	5493	20.5974	20.5974	94.2805
ERR3211994_352	1684	28.6578	28.6578	253.479
ERR3211994_353	1465	16.7232	16.7232	51.0177
ERR3211994_354	1241	7.44363	7.44363	3.84706
ERR3211994_355	2648	11.3803	11.3803	14.7107
ERR3211994_356	1059	6.0088	6.0088	1.86115
ERR3211994_357	1276	10.2442	10.2442	9.19807
ERR3211994_358	1073	25.4908	25.4908	165.556
ERR3211994_359	1214	8.75094	8.75094	5.61334
ERR3211994_360	2066	7.79384	7.79384	4.73503
ERR3211994_361	7470	18.0836	18.0836	34.5172
ERR3211994_362	2374	37.4442	37.4442	82.3728
ERR3211994_363	7472	15.3271	15.3271	19.5872
ERR3211994_364	1259	8.26781	8.26781	9.34786
ERR3211994_365	2039	11.8396	11.8396	7.53091
ERR3211994_366	1547	21.6314	21.6314	50.9051
ERR3211994_367	1832	16.3026	16.3026	21.8923
ERR3211994_368	3851	10.0467	10.0467	7.92245
ERR3211994_369	1792	11.5371	11.5371	16.367
ERR3211994_370	1073	7.73998	7.73998	8.08203
ERR3211994_371	2003	7.8748	7.8748	3.83527
ERR3211994_372	10147	59.1371	59.1371	82.9556
ERR3211994_373	1554	12.6895	12.6895	18.4849
ERR3211994_374	2546	13.3727	13.3727	22.4971
ERR3211994_375	1683	7.3816	7.3816	4.10031
ERR3211994_376	1329	9.85751	9.85751	5.17495
ERR3211994_377	1821	18.4219	18.4219	52.6933
ERR3211994_378	1088	9.91471	9.91471	6.89352
ERR3211994_379	1190	7.05769	7.05769	3.05924
ERR3211994_380	1148	13.2275	13.2275	41.8169
ERR3211994_381	1160	166.715	166.715	542.847
ERR3211994_382	9606	27.1672	27.1672	134.328
ERR3211994_383	3176	17.2521	17.2521	31.2631
ERR3211994_384	6601	14.2741	14.2741	18.2374
ERR3211994_385	1186	9.26931	9.26931	5.41241
ERR3211994_386	1170	6.17745	6.17745	3.53374
ERR3211994_387	1362	9.29455	9.29455	5.29303
ERR3211994_388	1452	8.39017	8.39017	9.0114
ERR3211994_389	8288	13.6935	13.6935	16.9073
ERR3211994_390	2442	12.12	12.12	36.2497
ERR3211994_391	1967	10.1987	10.1987	6.23092
ERR3211994_392	2649	25.523	25.523	44.5203
ERR3211994_393	1103	17.0839	17.0839	16.9509
ERR3211994_394	17564	35.7269	35.7269	82.3282
ERR3211994_395	2151	12.2439	12.2439	18.4285
ERR3211994_396	1842	12.3121	12.3121	17.9227
ERR3211994_397	3673	9.4763	9.4763	7.52888
ERR3211994_398	1054	10.8263	10.8263	4.98088
ERR3211994_399	2148	11.1196	11.1196	12.1364
ERR3211994_400	4815	257.522	257.522	65112.2
ERR3211994_401	1514	9.10704	9.10704	5.54391
ERR3211994_402	1028	8.20387	8.20387	1.81813
ERR3211994_403	1741	7.50786	7.50786	3.07902
ERR3211994_404	1101	12.1441	12.1441	27.656
ERR3211994_405	1370	10.2492	10.2492	11.0519
ERR3211994_406	1799	17.5943	17.5943	50.8117
ERR3211994_407	1131	7.36799	7.36799	6.88383
ERR3211994_408	3089	12.4212	12.4212	21.9592
ERR3211994_409	2101	7.96771	7.96771	5.05692
ERR3211994_410	3183	12.0402	12.0402	9.99646
ERR3211994_411	2208	14.0233	14.0233	13.7963
ERR3211994_412	1085	13.0417	13.0417	19.3141
ERR3211994_413	1727	15.2175	15.2175	13.0827
ERR3211994_414	1615	13.9945	13.9945	7.67756
ERR3211994_415	1673	10.8024	10.8024	12.5752
ERR3211994_416	1244	8.06399	8.06399	5.86046
ERR3211994_417	1040	11.1169	11.1169	5.33167
ERR3211994_418	1262	12.0612	12.0612	6.44993
ERR3211994_419	1268	6.01342	6.01342	4.47338
ERR3211994_420	2990	36.2856	36.2856	298.049
ERR3211994_421	1229	9.08156	9.08156	5.40708
ERR3211994_422	2683	21.3135	21.3135	23.8588
ERR3211994_423	1511	7.58486	7.58486	8.02535
ERR3211994_424	4936	14.7871	14.7871	20.9967
ERR3211994_425	1983	10.3066	10.3066	5.89065
ERR3211994_426	2991	22.3872	22.3872	24.6254
ERR3211994_427	3523	45.3356	45.3356	1819.46
ERR3211994_428	1620	7.29184	7.29184	3.98352
ERR3211994_429	1278	8.28812	8.28812	8.58146
ERR3211994_430	1160	8.69406	8.69406	5.35429
ERR3211994_431	1744	11.6161	11.6161	10.3748
ERR3211994_432	1459	8.56761	8.56761	9.08813
ERR3211994_433	1322	14.8584	14.8584	18.1334
ERR3211994_434	1062	11.7401	11.7401	7.60855
ERR3211994_435	3203	9.43007	9.43007	7.71703
ERR3211994_436	1396	8.56982	8.56982	5.67183
ERR3211994_437	1027	18.1482	18.1482	111.642
ERR3211994_438	2511	10.3134	10.3134	8.74742
ERR3211994_439	3505	13.8367	13.8367	13.7901
ERR3211994_440	1858	22.7248	22.7248	124.475
ERR3211994_441	1814	7.60938	7.60938	3.72576
ERR3211994_442	1197	18.2063	18.2063	40.6553
ERR3211994_443	1259	8.67448	8.67448	12.0646
ERR3211994_444	1151	13.5654	13.5654	6.71202
ERR3211994_445	1379	14.4255	14.4255	24.6045
ERR3211994_446	1069	11.7029	11.7029	14.538
ERR3211994_447	2454	15.3859	15.3859	38.1859
ERR3211994_448	5411	16.172	16.172	26.6518
ERR3211994_449	1146	9.97791	9.97791	12.1262
ERR3211994_450	2758	12.9034	12.9034	48.4118
ERR3211994_451	2151	12.6987	12.6987	21.2016
ERR3211994_452	1321	6.39624	6.39624	4.95907
ERR3211994_453	4563	17.3018	17.3018	43.2449
ERR3211994_454	1924	8.84836	8.84836	4.12983
ERR3211994_455	1046	8.42299	8.42299	14.3718
ERR3211994_456	5519	16.4135	16.4135	25.1263
ERR3211994_457	2009	10.7924	10.7924	15.2292
ERR3211994_458	2053	9.03573	9.03573	9.01653
ERR3211994_459	1177	10.222	10.222	5.36978
ERR3211994_460	6231	10.69	10.69	11.3243
ERR3211994_461	1766	36.9474	36.9474	311.228
ERR3211994_462	1404	37.4378	37.4378	75.0493
ERR3211994_463	3915	8.75697	8.75697	6.09903
ERR3211994_464	2729	10.1345	10.1345	16.3089
ERR3211994_465	1695	10.5243	10.5243	9.10055
ERR3211994_466	2572	14.5359	14.5359	54.2598
ERR3211994_467	1496	11.656	11.656	59.0451
ERR3211994_468	14845	15.9347	15.9347	17.737
ERR3211994_469	3853	13.131	13.131	17.7562
ERR3211994_470	3433	9.74444	9.74444	7.29874
ERR3211994_471	2560	12.8664	12.8664	14.2512
ERR3211994_472	6140	12.2234	12.2234	15.2882
ERR3211994_473	1399	37.3531	37.3531	683.509
ERR3211994_474	1183	9.73959	9.73959	17.6928
ERR3211994_475	1044	12.0705	12.0705	8.07677
ERR3211994_476	3808	16.1249	16.1249	21.9026
ERR3211994_477	3499	82.1439	82.1439	1494.96
ERR3211994_478	3337	12.3897	12.3897	14.4099
ERR3211994_479	1426	8.19906	8.19906	2.04976
ERR3211994_480	1034	10.1165	10.1165	9.19934
ERR3211994_481	12725	35.2671	35.2671	60.6088
ERR3211994_482	2117	8.74784	8.74784	5.60884
ERR3211994_483	1534	10.1351	10.1351	8.5421
ERR3211994_484	1062	76.9035	76.9035	137.326
ERR3211994_485	1699	10.5913	10.5913	15.0907
ERR3211994_486	1198	11.2281	11.2281	17.374
ERR3211994_487	1343	8.40235	8.40235	7.72575
ERR3211994_488	2310	27.6875	27.6875	219.111
ERR3211994_489	1565	9.93004	9.93004	17.8134
ERR3211994_490	1207	5.9754	5.9754	3.5486
ERR3211994_491	1689	7.06173	7.06173	6.14116
ERR3211994_492	3682	10.325	10.325	12.4822
ERR3211994_493	1036	10.0959	10.0959	5.68459
ERR3211994_494	1751	9.99688	9.99688	7.82185
ERR3211994_495	1052	6.66186	6.66186	4.05973
ERR3211994_496	2442	12.106	12.106	17.8792
ERR3211994_497	1043	6.48152	6.48152	2.67369
ERR3211994_498	2118	9.83486	9.83486	6.08
ERR3211994_499	2733	19.0132	19.0132	24.4283
ERR3211994_500	1433	7.57989	7.57989	2.65098
ERR3211994_501	1538	26.4135	26.4135	46.6119
ERR3211994_502	2495	49.1518	49.1518	40.516
ERR3211994_503	1020	20.4034	20.4034	641.638
ERR3211994_504	1887	11.3178	11.3178	21.4163
ERR3211994_505	2208	10.3066	10.3066	4.78732
ERR3211994_506	2119	7.86846	7.86846	2.95676
ERR3211994_507	1364	13.9926	13.9926	12.6108
ERR3211994_508	4192	16.4782	16.4782	28.1715
ERR3211994_509	1381	64.5337	64.5337	615.888
ERR3211994_510	5535	14.7718	14.7718	24.3959
ERR3211994_511	1508	17.1554	17.1554	17.6714
ERR3211994_512	1032	6.82313	6.82313	4.91537
ERR3211994_513	4511	21.8691	21.8691	26.8564
ERR3211994_514	25922	16.4232	16.4232	22.1138
ERR3211994_515	1328	7.5416	7.5416	5.03863
ERR3211994_516	1028	9.82232	9.82232	8.03681
ERR3211994_517	1188	8.3815	8.3815	4.98642
ERR3211994_518	1056	6.82561	6.82561	8.09334
ERR3211994_519	1008	66.4312	66.4312	1361.76
